"id ","date","time","latitude","longitude"
"1","09.10.2024","09:30:00","47.36304591136844","8.568090649926221"
"2","09.10.2024","14:13:00","47.45387652914839","8.55733153724672"
"3","09.10.2024","21:01:00","45.459286822764916","-73.7552379335427"
"4","10.10.2024","07:31:00","19.435599164690448","-99.08259802728153"
"5","10.10.2024","14:52:17","19.39195505163332","-99.176100674606"
"6","10.10.2024","15:07:05","19.391907154349752","-99.17605074047864"
"7","11.10.2024","09:06:46","19.39207473499575","-99.17597784903798"
"8","12.10.2024","18:23:57","19.393122189112912","-99.17436748443131"
"9","14.10.2024","19:51:20","19.392504110150036","-99.17168458083027"
"10","15.10.2024","09:48:29","15.869237982383853","-97.08054834622219"
"11","15.10.2024","20:42:23","15.870332523829294","-97.07993957625636"
"12","18.10.2024","15:11:23","15.870123400000002","-97.0798932"
"13","23.10.2024","13:18:07","15.870187096409898","-97.07998552403947"
"14","04.11.2024","14:30:14","15.840492409615065","-97.04581094095775"
"15","10.11.2024","23:42:45","15.840312157437507","-97.04577781631758"
"16","12.11.2024","15:37:40","15.840355440615443","-97.04534775161378"
"17","25.11.2024","22:08:40","15.833901808505566","-97.0443530737642"
"18","15.12.2024","12:59:17","15.840155101338766","-97.04553055379695"
"19","05.01.2025","00:12:44","15.840496200000004","-97.0451095"
"20","11.10.2024","09:04:55","19.39207473499575","-99.17597784903798"
"21","08.05.2025","11:05:43","30.410538428053144","-9.567623993596156"
"22","23.05.2025","12:29:44","47.4248052459955","8.616209233622806"
